,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49143.92083191872
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.512556314468384
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.13889145851
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.62165522575
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.9189326763153076
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.47178912163
8,2019-04-30,SELL,NVDA,18473,4.451749801635742,227104.6458747387
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.165901899337769
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.85708022118
11,2019-05-31,BUY,NVDA,38294,3.4572553634643555,66084.72019171715
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,6.950423955917358
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52300.070235967636
14,2019-06-28,BUY,NVDA,12892,4.056702136993408,1.0662858486175537
15,2019-07-31,SELL,NVDA,931,4.360401153564453,4060.5997598171234
16,2019-07-31,BUY,TSLA,251,16.150667190551758,6.782294988632202
17,2019-08-16,SELL,TSLA,1997,14.37600040435791,28715.65510249138
18,2019-08-30,BUY,NVDA,355,4.154505729675293,27240.80556845665
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,14.816392660140991
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8770.030719518661
21,2019-09-30,BUY,TSLA,543,16.142000198364258,4.924611806869507
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19514.54478621483
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15725.694627523422
24,2019-10-31,BUY,NVDA,3061,5.050086975097656,267.37839674949646
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32402.5090405941
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28611.349128484726
27,2019-11-29,BUY,NVDA,5232,5.433223247528076,184.72509741783142
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1154.6550900936127
29,2019-12-31,SELL,NVDA,11759,5.783752918243408,69165.80565571785
30,2019-12-31,BUY,CSCO,1698,40.72336196899414,17.53703236579895
